115,"What is the postfix expression for the corresponding infix expression?|a+b*c+(d*e)|a) abc*+de*+|b) abc+*de*+|c) a+bc*de+*|d) abc*+(de)*+","a","Using the infix to postfix expression conversion algorithm, the corresponding postfix expression is found to be abc*+de*+.",10,
116,"Parentheses are simply ignored in the conversion of infix to postfix expression.|a) True|b) False","b","When a parenthesis is encountered, it is placed on the operator stack. When the corresponding parenthesis is encountered, the stack is popped until the other parenthesis is reached and they are discarded.",10,
117,"It is easier for a computer to process a postfix expression than an infix expression.|a) True|b) False","a","Computers can easily process a postfix expression because a postfix expression keeps track of precedence of operators.",10,
118,"What is the postfix expression for the following infix expression?|a/b^c-d|a) abc^/d-|b) ab/cd^-|c) ab/^cd-|d) abcd^/-","a","Using the infix to postfix conversion algorithm, the corresponding postfix expression for the infix expression is found to be abc^/d-.",10,
119,"Which of the following statement is incorrect with respect to infix to postfix conversion algorithm?|a) operand is always placed in the output|b) operator is placed in the stack when the stack operator has lower precedence|c) parenthesis are included in the output|d) higher and equal priority operators follow the same condition","c","Parentheses are not included in the output. They are placed in the operator stack and then discarded.",10,
120,"In infix to postfix conversion algorithm, the operators are associated from?|a) right to left|b) left to right|c) centre to left|d) centre to right","b","In infix, prefix and postfix expressions, the operators are associated from left to right and not right to left.",10,
121,"What is the corresponding postfix expression for the given infix expression?|a*(b+c)/d|a) ab*+cd/|b) ab+*cd/|c) abc*+/d|d) abc+*d/","d","Using the infix to postfix conversion algorithm, the corresponding postfix expression is obtained as abc+*d/.",10,
122,"What is the corresponding postfix expression for the given infix expression?|a+(b*c(d/e^f)*g)*h)|a) ab*cdef/^*g-h+|b) abcdef^/*g*h*+|c) abcd*^ed/g*-h*+|d) abc*de^fg/*-*h+","b","Using the infix to postfix expression conversion algorithm using stack, the corresponding postfix expression is found to be abcdef^/*g*h*+.",10,
123,"What is the correct postfix expression for the following expression?|a+b*(c^d-e)^(f+g*h)-i|a) abc^de-fg+*^*+i-|b) abcde^-fg*+*^h*+i-|c) abcd^e-fgh*+^*+i-|d) ab^-dc*+ef^gh*+i-","c","The postfix expression for the given infix expression is found to be abcd^e-fgh*+^*+i- when we use infix to postfix conversion algorithm.",10,
124,"The postfix expression abc+de/*- is equivalent to which of the following infix expression?|a) abc+-de*/|b) (a+b)-d/e*c|c) a-(b+c)*(d/e)|d) abc+*-(d/e)","c","Given postfix expression : abc+de/*- infix a(b+c)(d/e)*- a(b+c)*(d/e)- a-(b+c)*(d/e) Hence, correct choice is a-(b+c)*(d/e).",10,
125,"The prefix expression of the postfix expression AB+CD-* is __________|a) (A+B)*(C-D)|b) +AB*-CD|c) A+*BCD-|d) *+AB-CD","d","To convert from postfix to prefix, we first convert it to infix and then to prefix. postfix : AB+CD-* infix (A+B) * (C-D) So, prefix +AB*-CD, *+AB-CD. Therefore, correct choice is *+AB-CD.",10,
126,"Consider the postfix expression 4 5 6 a b 7 8 a c, where a, b, c are operators. Operator a has higher precedence over operators b and c. Operators b and c are right associative. Then, equivalent infix expression is|a) 4 a 5 6  b 7 8 a c|b) 4 a 5 c 6 b 7 a 8|c) 4 b 5 a 6 c 7 a 8|d) 4 a 5 b 6 c 7 a 8","c","Given postfix expression: 4 5 6 a b 7 8 a c (4 b (5 a 6)) (7 a 8) c (4 b (5 a 6)) c (7 a 8) So, the required infix expression is 4 b 5 a 6 c 7 a 8.",10,
127,"To convert the postfix expression into the infix expression we use stack and scan the postfix expression from left to right.|a) True|b) False","a","Stack is used to postfix expression to infix expression. And to convert we follow the following steps: (i) Scan the expression from left to right. (ii) If operand is found, push it on stack.(iii) If operator is found, the two operands are popped and the combined infix expression is formed and pushed onto the stack.",10,
128,"Which of the following is valid reverse polish expression?|a) a op b|b) op a b|c) a b op|d) both op a b and a b op","c","The postfix expression is also known as the reverse polish expression. In postfix expressions, the operators come after the operands. So, the correct expression is a b op and hence a b op is correct.",10,
129,"Which is the most appropriate data structure for reversing a word?|a) queue|b) stack|c) tree|d) graph","b","Stack is the most appropriate data structure for reversing a word because stack follows LIFO principle.",10,
130,"Operations required for reversing a word or a string using stack are push() and  pop().|a) True|b) False","a","Push operation inserts a character into the stack and pop operation pops the top of the stack.",10,
131,"What is the time complexity of reversing a word using stack algorithm?|a) O (N log N)|b) O (N2)|c) O (N)|d) O (M log N)","c","The time complexity of reversing a stack is mathematically found to be O (N) where N is the input.",10,
132,"How many stacks are required for reversing a word algorithm?|a) one|b) two|c) three|d) four","a","Only 1 stack is required for reversing a word using stack. In that stack, push and pop operations are carried out.",10,
133,"Which application of stack is used to ensure that the pair of parentheses is properly nested?|a) Balancing symbols|b) Reversing a stack|c) Conversion of an infix to postfix expression|d) Conversion of an infix to prefix expression","a","Balancing symbols application ensures that the pair of parentheses are properly nested while reversing stack reverses a stack.",10,
134,"In balancing parentheses algorithm, the string is read from?|a) right to left|b) left to right|c) center to right|d) center to left","b","Any string is read by the compiler from left to right and not from right to left.",10,
135,"Which is the most appropriate data structure for applying balancing of symbols algorithm?|a) stack|b) queue|c) tree|d) graph","a","Stack is the most appropriate data structure for balancing symbols algorithm because stack follows LIFO principle (Last In First Out).",10,
136,"Which of the following does the balancing symbols algorithm include?|a) balancing double quotes|b) balancing single quotes|c) balancing operators and brackets|d) balancing parentheses, brackets and braces","d","The balancing symbols algorithm using stack only includes balancing parentheses, brackets and braces and not any other symbols.",10,
137,"What should be done when an opening parentheses is read in a balancing symbols algorithm?|a) push it on to the stack|b) throw an error|c) ignore the parentheses|d) pop the stack","a","When an opening bracket/braces/parentheses is encountered, it is pushed on to the stack. When the corresponding end bracket/braces/parentheses is not found, throw an error.",10,
138,"If the corresponding end bracket/braces/parentheses is encountered, which of the following is done?|a) push it on to the stack|b) pop the stack|c) throw an error|d) treated as an exception","b","When the corresponding end bracket/braces/parentheses is encountered, the stack is popped. When an opening bracket/braces/parentheses is encountered, it is pushed on to the stack.",10,
139,"An error is reported when the stack is not empty at the end.|a) True|b) False","a","When the stack contains elements at the end, it means that the given string of parentheses is not balanced.",10,
140,"Is the given statement ((A+B) + [C-D]] valid with respect to balancing of symbols?|a) True|b) False","b","The given statement is invalid with respect to balancing of symbols because the last bracket does not correspond to the opening braces.",10,
141,"How many passes does the balancing symbols algorithm makes through the input?|a) one|b) two|c) three|d) four","a","The balancing symbols algorithm makes only one pass through the input since it is linear.",10,
143,"Which of the following bitwise operations will you use to set a particular bit to 0?|a) OR|b) AND|c) XOR|d) NAND","b","1 AND 0 = 0, 0 AND 0 = 0, any bit AND with 0 gives 0.",10,
144,"Which of the following bitwise operations will you use to toggle a particular bit?|a) OR|b) AND|c) XOR|d) NOT","c","1 XOR 1 = 0, 0 XOR 1 = 1, note that NOT inverts all the bits, while XOR toggles only a specified bit.",10,
145,"Which of the following is not a disadvantage of bit array?|a) Without compression, they might become sparse|b) Accessing individual bits is expensive|c) Compressing bit array to byte/word array, the machine also has to support byte/word addressing|d) Storing and Manipulating in the register set for long periods of time","d","Bit arrays allow small arrays of bits to be stored and manipulated in the register set for long periods of time with no memory accesses because of their ability to exploit bit-level parallelism, limit memory access, and maximally use the data cache, they often outperform many other data structures on practical data sets. This is an advantage of bit array. The rest are all disadvantages of bit array.",10,
146,"Which of the following is/are not applications of bit arrays?|a) Used by the Linux kernel|b) For the allocation of memory pages|c) Bloom filter|d) Implementation of Vectors and Matrices","d","Normal Arrays are used to implement vectors and matrices. Bit arrays have no prominent role. Remaining all are applications of Bit Arrays.",10,
147,"Which class in Java can be used to represent bit array?|a) BitSet|b) BitVector|c) BitArray|d) BitStream","a","The BitSet class creates a special type of array that can hold bit values.",10,
148,"Which of the following bitwise operator will you use to invert all the bits in a bit array?|a) OR|b) NOT|c) XOR|d) NAND","b","NOT operation is used to invert all the bits stored in a bit array. Eg: NOT (10110010) = 01001101.",10,
149,"Run-Length encoding is used to compress data in bit arrays.|a) True|b) False","a","A bit array stores the combinations of bit 0 and bit 1. Each bit in the bit array is independent. Run Length encoding is a data compression technique in which data are stored as single value and number of times that value repeated in the data. This compression reduces the space complexity in arrays. Bit arrays without compression require more space. Thus, we will use Run-Length encoding in most of the cases to compress data in bit arrays.",10,
150,"Bit fields and Bit arrays are same.|a) True|b) False","b","Bit field contains the number of adjacent computer locations used to store the sequence of bits to address a bit or groups of bits. Bit array is an array that stores combinations of bit 0 and bit 1. Thus, bit fields and Bit arrays are different.",10,
151,"What is meant by physical size in a dynamic array?|a) The size allocated to elements|b) The size extended to add new elements|c) The size of the underlying array at the back-end|d) The size visible to users","c","Physical size, also called array capacity is the size of the underlying array, which is the maximum size without relocation of data.",10,
152,"The number of items used by the dynamic array contents is its __________|a) Physical size|b) Capacity|c) Logical size|d) Random size","c","The number of items used by the dynamic array contents is called logical size. Physical size is the size of the underlying array, which is the maximum size without reallocation of data.",10,
153,"How will you implement dynamic arrays in Java?|a) Set|b) Map|c) HashMap|d) List","d","ArrayList is used to implement dynamic arrays in Java.",10,
154,"Which of the following is the correct syntax to declare an ArrayList in Java?|a) ArrayList al = new ArrayList();|b) ArrayList al = new ArrayList[];|c) ArrayList al() = new ArrayList();|d) ArrayList al[] = new ArrayList[];","a","This is a non-generic way of creating an ArrayList.",10,
155,"Array is divided into two parts in ____________|a) Hashed Array Tree|b) Geometric Array|c) Bounded-size dynamic array|d) Sparse Array","c","The first part stores the items of the dynamic array and the second part is reserved for new allocations.",10,
156,"Which of the following is a disadvantage of dynamic arrays?|a) Locality of reference|b) Data cache utilization|c) Random access|d) Memory leak","d","Dynamic arrays share the advantage of arrays, added to it is the dynamic addition of elements to the array. Memory can be leaked if it is not handled properly during allocation and deallocation. It is a disadvantage.",10,
157,"What is the time complexity for inserting/deleting at the beginning of the array?|a) O(1)|b) O(n)|c) O(logn)|d) O(nlogn)","b","All the other elements will have to be moved, hence O(n).",10,
158,"The size of the dynamic array is deallocated if the array size is less than _________% of the backend physical size.|a) 30|b) 40|c) 10|d) 20","a","The size of the dynamic array is decreased/deallocated if the actual size of the array is less than 30% of the backend physical size. This is used to avoid memory wastage.",10,
159,"In which of the following cases dynamic arrays are not preferred?|a) If the size of the array is unknown|b) If the size of the array changes after few iterations|c) If the memory reallocation takes more time i.e. expensive|d) If the array holds less number of elements","d","Dynamic arrays are preferred when the size of the array is unknown during memory allocation or the size changes after few iterations or the memory reallocation is expensive. If array holds less number of elements, the physical size is reduced and reduction takes more time. In that case, we can use normal arrays instead of dynamic arrays.",10,
160,"The growth factor of ArrayList in Java is _______|a) 1|b) 1.5|c) 2|d) 0","b","The growth factor of dynamic arrays (Array List) in Java is 3/2. The new array capacity is calculated as new_array_size = (old_array_size*3)/2+1.",10,
161,"In special case, the time complexity of inserting/deleting elements at the end of dynamic array is __________|a) O (n)|b) O (n1/2)|c) O (log n)|d) O (1)","a","In general, the time complexity of inserting or deleting elements at the end of dynamic array is O (1). Elements are added at reserved space of dynamic array. If this reserved space is exceeded, then the physical size of the dynamic array is reallocated and every element is copied from original array. This will take O(n) time to add new element at the end of the array.",10,
162,"When do you use a sparse array?|a) When there are unique elements in the array|b) When the array has more occurrence of zero elements|c) When the data type of elements differ|d) When elements are sorted","b","It need not necessarily be zero, it could be any default value, usually zero or null.",10,
163,"What is the difference between a normal(naive) array and a sparse array?|a) Sparse array can hold more elements than a normal array|b) Sparse array is memory efficient|c) Sparse array is dynamic|d) A naive array is more efficient","b","A naive implementation allocates space for the entire size of the array, whereas a sparse array(linked list implementation) allocates space only for the non-default values.",10,
164,"Suffix array can be created by performing __________ traversal of a suffix tree.|a) breadth-first|b) level order|c) depth-first|d) either breadth-first or level order","c","A suffix tree is a trie, which contains all the suffixes of the given string as their keys and positions in the string as their values. So, we can construct a suffix array by performing the depth-first traversal of a suffix tree.",10,
165,"Suffix array is space efficient and faster than the suffix tree.|a) True|b) Fasle","b","Suffix arrays are more space efficient than the suffix trees as they just store the original string and an array of integer. But working with suffix tree is faster than that of the suffix array.",10,
166,"If comparison based sorting algorithm is used construct the suffix array, then what will be time required to construct the suffix array?|a) O(nlogn)|b) O(n2)|c) O(n2logn)|d) O(n2) + O(logn)","c","On average comparison based sorting algorithms require O(nlogn) comparisons. But comparing a suffix takes O(n). So, overall time to construct the suffix array will be O(nlogn) * O(n) = O(n2logn).",10,
167,"LCP array and ______ is used to construct suffix tree.|a) Hash tree|b) Hash trie|c) Suffix array|d) Balanced tree","c","Suffix tree can be created using an LCP array and a suffix array. If we are given a string of length (n + 1) and its suffix array and LCP array, we can construct the suffix tree in linear time i.e in O(n) time.",10,
168,"What is the time required to locate the occurrences of a pattern P of length m in a string of length n using suffix array?|a) O(nm)|b) O(n2)|c) O(mnlogn)|d) O(mlogn)","d","Suffix arrays are used to find the occurrences of a pattern in a string. Pattern of length m will require m characters to compare, so using suffix array we can find occurrences of a pattern in the string of length n in O(mlogn) time.",10,
169,"Suffix array can be created in O(nlogn) time.|a) True|b) False","a","Suffix array can be constructed in O(n2logn) time using sorting algorithms but it is possible to build the suffix array in O(nlogn) time using prefix doubling.",10,
170,"If row-major order is used, how is the following matrix stored in memory?|a b c|d e f|g h i|a) ihgfedcba|b) abcdefghi|c) cfibehadg|d) adgbehcfi","b","It starts with the first element and continues in the same row until the end of row is reached and then proceeds with the next row. C follows row-major order.",10,
171,"Which of the following is an advantage of matrices?|a) Internal complexity|b) Searching through a matrix is complex|c) Not space efficient|d) Graph Plotting","d","Adjacency and Incidence Matrices are used to store vertices and edges of a graph. It is an advantage to plot graphs easily using matrices. But Time complexity of a matrix is O(n2) and sometimes the internal organization becomes tedious. They are all disadvantages of matrices.",10,
172,"Who coined the term Sparse Matrix?|a) Harry Markowitz|b) James Sylvester|c) Chris Messina|d) Arthur Cayley","a","Harry Markowitz coined the term Sparse Matrix. James Sylvester coined the term Matrix. Chris Messina coined the term Hashtag and Arthur Cayley developed the algebraic aspects of a matrix.",10,
173,"Is O(n) the Worst case Time Complexity for addition of two Sparse Matrix?|a) True|b) False","a","In Addition, the matrix is traversed linearly, hence it has the time complexity of O(n) where n is the number of non-zero elements in the largest matrix amongst two.",10,
174,"The matrix contains m rows and n columns. The matrix is called Sparse Matrix if ________|a) Total number of Zero elements > (m*n)/2|b) Total number of Zero elements = m + n|c) Total number of Zero elements = m/n|d) Total number of Zero elements = m-n","a","For matrix to be Sparse Matrix, it should contain Zero elements more than the non-zero elements. Total elements of the given matrix is m*n. So if Total number of Zero elements > (m*n)/2, then the matrix is called Sparse Matrix.",10,
175,"Which of the following is not the method to represent Sparse Matrix?|a) Dictionary of Keys|b) Linked List|c) Array|d) Heap","d","Heap is not used to represent Sparse Matrix while in Dictionary, rows and column numbers are used as Keys and values as Matrix entries, Linked List is used with each node of Four fields (Row, Column, Value, Next Node) (2D array is used to represent the Sparse Matrix with three fields (Row, Column, Value).",10,
176,"Is Sparse Matrix also known as Dense Matrix?|a) True|b) False","b","Sparse Matrix is a matrix with most of the elements as Zero elements while Dense Matrix is a matrix with most of the elements as Non-Zero element.",10,
177,"Which one of the following is a Special Sparse Matrix?|a) Band Matrix|b) Skew Matrix|c) Null matrix|d) Unit matrix","a","A band matrix is a sparse matrix whose non zero elements are bounded to a diagonal band, comprising the main diagonal and zero or more diagonals on either side.",10,
178,"How many inversions does a sorted array have?|a) 0|b) 1|c) 2|d) cannot be determined","a","When an array is sorted then there cannot be any inversion in the array. As the necessary condition for an inversion is arr[i]>arr[j] and i<j.",10,
179,"What is the condition for two elements arr[i] and arr[j] to form an inversion?|a) arr[i]<arr[j] |b) i < j|c) arr[i] < arr[j] and i < j|d) arr[i] > arr[j] and i < j","d","For two elements to form an inversion the necessary condition is arr[i] > arr[j] and i < j. The number of inversions in an array indicate how close or far the array is from being completely sorted.",10,
180,"Under what condition the number of inversions in an array are maximum?|a) when the array is sorted|b) when the array is reverse sorted|c) when the array is half sorted|d) depends on the given array","b","Number of inversions in an array are maximum when the given array is reverse sorted. As the necessary condition for an inversion is arr[i]>arr[j] and i<j.",10,
181,"Under what condition the number of inversions in an array are minimum?|a) when the array is sorted|b) when the array is reverse sorted|c) when the array is half sorted|d) depends on the given array","a","Number of inversions in an array are minimum when the given array is sorted. As the necessary condition for an inversion is arr[i]>arr[j] and i<j.",10,
182,"How many inversions are there in the array arr = {1,5,4,2,3}?|a) 0|b) 3|c) 4|d) 5","d","The necessary condition for an inversion is arr[i]>arr[j] and i<j. So there are 5 inversions in the array.",10,
183,"Which of the following form inversion in the array arr = {1,5,4,2}?|a) (5,4), (5,2)|b) (5,4), (5,2), (4,2)|c) (1,5), (1,4), (1,2)|d) (1,5)","b","The necessary condition for an inversion is arr[i]>arr[j] and i<j. So there are 3 inversions in the array. These are (5,4), (5,2), (4,2).",10,
184,"The time complexity of the code that determines the number of inversions in an array using merge sort is lesser than that of the code that uses loops for the same purpose.|a) true|b) false","a","The time complexity of the code that determines the number of inversions in an array using merge sort is O(n log n) which is lesser than the time complexity taken by the code that uses loops.",10,
185,"What is the time complexity of the code that uses merge sort for determining the number of inversions in an array?|a) O(n2)|b) O(n)|c) O(log n)|d) O(n log n)","d","The code of merge sort is slightly modified in order to calculate the number of inversions in an array. So the time complexity of merge sort remains unaffected and hence the time complexity is O(n log n).",10,
186,"What is the time complexity of the code that uses self balancing BST for determining the number of inversions in an array?|a) O(n2)|b) O(n)|c) O(log n)|d) O(n log n)","d","When a self balancing BST like an AVL tree is used to calculate the number of inversions in an array then the time complexity is O(n log n) as AVL insert takes O(log n) time.",10,
187,"What will be the output of the following code?|#include <iostream> using namespace std; int main() { }|a) 5 6 1 2 3 4|b) 6 5 4 3 1 2|c) 3 4 5 6 1 2|d) error","a","The given code rotates the given array by 4. It does so by using an array temp[] which stores the first d elements and then shift them to the end of the array. So the output will be 5 6 1 2 3 4.",10,
188,"What will be the time complexity of the following code?|#include <iostream> using namespace std; int main() { }|a) O(d)|b) O(n)|c) O(n2)|d) O(n*d)","b","The given code rotates an input array by d. The longest loop in the code takes n iterations so the time complexity will be O(n).",10,
189,"What will be the auxiliary space complexity of the following code?|#include <iostream> using namespace std; int main() { }|a) O(1)|b) O(n)|c) O(d)|d) O(n*d)","c","The given code rotates an input array by d. It does so by using an auxiliary array temp[] which stores first d elements of the original array. So the auxiliary space complexity will be O(d).",10,
190,"What will be the output of the following code?|#include <bits/stdc++.h> using namespace std; { } { } { } { }|a) 4 5 1 2 3|b) 3 4 5 1 2|c) 5 4 3 1 2|d) error","a","The given code rotates the input array by 3. It does so by rotating the elements one by one until the desired rotation is achieved. So the output will be 4 5 1 2 3.",10,
191,"#include <bits/stdc++.h> using namespace std; void func1(int arr[], int n) { } { } { } { }|a) O(n*d)|b) O(n)|c) O(d)|d) O(n2)","a","The given code rotates the input array by d. It does so by rotating the elements one by one until the desired rotation is achieved. Each element takes O(n) time for rotation and there are d such elements in the array. So the time complexity would be O(n*d).",10,
192,"What will be the auxiliary space complexity of the following code?|#include <bits/stdc++.h> using namespace std; void func1(int arr[], int n) { } { } { } { }|a) O(1)|b) O(n)|c) O(d)|d) O(n*d)","a","The given code rotates the input array by d. It does so by rotating the elements one by one until the desired rotation is achieved. It does not require any auxiliary array for this purpose. So the auxiliary space complexity will be O(1).",10,
193,"To rotate an array by using the algorithm of rotating its elements one by one is an in place algorithm.|a) true|b) false","a","The auxiliary space requirement of the mentioned algorithm is O(1). So it qualifies to be an in place algorithm.",10,
194,"What will be the output of the following code?|#include <bits/stdc++.h> using namespace std; void func1(int arr[], int left, int right) { { } } { } { } { }|a) 3 2 1 4 5|b) 3 4 5 1 2|c) 5 4 3 2 1|d) error","b","The given code rotates the input array by 2. It does so by applying a reversal algorithm to different segments of the array. First d elements and the rest of the array is reversed individually. Then the whole array is reversed which gives us the desired rotated array. So the output will be 3 4 5 1 2.",10,
195,"What will be the auxiliary space complexity of the code to rotate an array by using the reversal algorithm (d = number of rotations)?|a) O(1)|b) O(n)|c) O(d)|d) O(n*d)","a","The reversal algorithm for rotating an array does not require any auxiliary space. So the auxiliary space complexity will be O(1).",10,
197,"Predefined function rotate() in C++ is available under which header file?|a) math|b) stdio|c) stdlib|d) algorithm","d","The predefined function for rotating an array is rotate() in C++ which comes under the library called algorithm.",10,
198,"Which of the following algorithm to rotate an array has the maximum time complexity?|a) rotate elements one by one|b) juggling algorithm|c) reversal algorithm|d) using a temporary array","a","The maximum time complexity is required by the algorithm that rotates elements one by one. It requires O(n*d) time.",10,
199,"What is the time complexity of the juggling algorithm to rotate an array?|a) O(1)|b) O(n)|c) O(d)|d) O(n*d)","b","Time complexity of juggling algorithm is O(n). Its auxiliary space complexity is O(1).",10,
202,"When array reversal and rotation is applied to the same array then the output produced will also be the same every time.|a) true|b) false","b","Array rotation and array reversal are different operations and thus they give different outputs when applied to the same array.",10,
203,"Which of the following is the predefined function for array reversal in C++ ?|a) reverse()|b) arr_reverse()|c) array_reverse()|d) rev()","a","The predefined function for reversing an array is reverse() in C++. It is defined under the library algorithm and requires 2 arguments.",10,
204,"What will be the minimum number of jumps required to reach the end of the array arr[] ={0,1,3,6,3,6,8,5}?|a) 1|b) 2|c) 3|d) not possible to reach the end","d","Each element of the array represents the maximum number of steps that can be taken forward from that element. So as the first element here is 0 so we cannot move any further from the first element. Thus, it is not possible to reach the end of the array.",10,
208,"What will be the minimum number of jumps required to reach the end of the array arr[] = {1,2,0,0,3,6,8,5}?|a) 1|b) 2|c) 3|d) not possible to reach the end","d","Each element of the array represents the maximum number of steps that can be taken forward from that element. So we cannot move any further after reaching the second element hence it is impossible to reach the end of the array.",10,
209,"It is not possible to find the minimum number of steps to reach the end of an array in linear time.|a) true|b) false","b","It is possible to find the minimum number of steps to reach the end of an array in O(n) time complexity. So it is the fastest possible method of finding the minimum number of steps to reach the end of an array.",10,
212,": It is not possible to reach the end of an array if starting element of the array is 0.|a) true|b) false","a","If the first element of an array is 0 then it is not possible to reach the end. However, if 0 is present at other positions then we may/may not be able to reach the end.",10,
214,"Skip lists are similar to which of the following datastructure?|a) stack|b) heap|c) binary search tree|d) balanced binary search tree","d","Skip lists have the same asymptotic time complexity as balanced binary search tree. For a Balanced Binary Search Tree, we skip almost half of the nodes after one comparison with root element. The same thing done in the skip lists. Hence skip lists are similar to balanced Binary search trees.",10,
215,"What is the time complexity improvement of skip lists from linked lists in insertion and deletion?|a) O(n) to O(logn) where n is number of elements|b) O(n) to O(1) where n is number of elements|c) no change|d) O(n) to O(n2) where n is number of elements","a","In Skip list we skip some of the elements by adding more layers. In this the skip list resembles balanced binary search trees. Thus we can change the time complexity from O (n) to O (logn)5. To which datastructure are skip lists similar to in terms of time complexities in worst and best cases?|a) balanced binary search trees|b) binary search trees|c) binary trees|d) linked lists View AnswerAnswer: a Explanation: Skip lists are similar to any randomly built binary search tree. a BST is balanced because to avoid skew tree formations in case of sequential input and hence achieve O(logn) in all 3 cases. now skip lists can gurantee that O(logn) complexity for any input.",10,
216,"The nodes in a skip list may have many forward references. their number is determined|a) probabilistically|b) randomly|c) sequentially|d) orthogonally","a","The number of forward references are determined probabilistically, that is why skip list is a probabilistic algorithm.",10,
218,"How to maintain multi-level skip list properties when insertions and deletions are done?|a) design each level of a multi-level skip list with varied probabilities|b) that cannot be maintained|c) rebalancing of lists|d) reconstruction","a","For example consider a 2 level skip list. the level-2 skip list can skip one node on a average and at some places may skip 2 nodes, depending on probabilities. this ensures O(logn).",10,
219,"Is a skip list like balanced tree?|a) true|b) false","a","Skip list behaves as a balanced tree with high probability and can be commented as such because nodes with different heights are mixed up evenly.",10,
220,"Which of the following is true about the Move-To-Front Method for rearranging nodes?|a) node with highest access count is moved to head of the list|b) requires extra storage|c) may over-reward infrequently accessed nodes|d) requires a counter for each node","c","In Move-To-front Method the element which is searched is moved to the head of the list. And if a node is searched even once, it is moved to the head of the list and given maximum priority even if it is not going to be accessed frequently in the future. Such a situation is referred to as over-rewarding.",10,
221,"What technique is used in Transpose method?|a) searched node is swapped with its predecessor|b) node with highest access count is moved to head of the list|c) searched node is swapped with the head of list|d) searched nodes are rearranged based on their proximity to the head node","a","In Transpose method, if any node is searched, it is swapped with the node in front unless it is the head of the list. So, in Transpose method searched node is swapped with its predecessor.",10,
222,"The worst case running time of a linear search on the self organizing list is ____|a) O(1)|b) O(logn)|c) O(n)|d) O(n2)","c","Worst case occurs when the element is located at the very end of list. So n comparisons must be made to the locate element. So the worst case running time of linear search on self organizing list is O(n).",10,
223,"Which of the following data structure is preferred to have lesser search time when the list size is small?|a) search tree|b) sorted list|c) self organizing list|d) linked list","c","Self-organizing list is easy and simple to implement than search tree and it requires no additional space. So using self organizing list is preferred when list size is small.",10,
224,"In _____________ method, whenever a node is accessed, it might move to the head of the list if its number of accesses becomes greater than the records preceding it.|a) least recently used|b) count|c) traspose|d) exchange","b","In the count method, the number of times a node was accessed is counted and is stored in a counter variable associated with each node. Then the nodes are arranged in descending order based on their access counts. And the node with highest access count is head of the list.",10,
225,"Symbol tables during compilation of program is efficiently implemented using __________|a) a singly linked list|b) a doubly linked list|c) a self organizing list|d) an array","c","Self organizing list allows fast sequential search and it is simple to implement and requires no extra storage. Self-organizing list is used to implement the symbol table.",10,
226,"Which of the following method performs poorly when elements are accessed in sequential order?|a) count method|b) move to front method|c) transpose meth|d) ordering method","b","Move-to-front method performs poorly when the elements are accessed in sequential order, especially if that sequential order is then repeated multiple times.",10,
227,"The self organizing list improves _____|a) average access time|b) insertion|c) deletion|d) binary search","a","The self-organizing list rearranges the nodes based on the access probabilities of the nodes. So the required elements can be located efficiently. Therefore, self-organizing list is mainly used to improve the average access time.",10,
228,"What does a xor linked list have ?|a) every node stores the XOR of addresses of previous and next nodes|b) actuall memory address of next node|c) every node stores the XOR of addresses of previous and next two nodes|d) every node stores xor 0 and the current node address","a","Every node stores the XOR of addresses.",10,
229,"What does first and last nodes of a xor linked lists contain ? (let address of first and last be A and B)|a) NULL xor A and B xor NULL|b) NULL and NULL|c) A and B|d) NULL xor A and B","a","NULL xor A and B xor NULL.",10,
230,"Consider the following pseudocode of insertion in XOR list and write the approximate code snippet of it. void xor-linked-list insert(struct node **head_ref, int value) {     {     }     {     }     *head_pointer = new_node; }|a) node* next = XOR ((*head_ref)->npx,  NULL);   (*head_ref)->npx = XOR (new_node, next);|b)   (*head_ref) = XOR (new_node, next);|c) node* next = XOR ((*head_ref)->npx,  NULL);   (*head_ref)->npx->npx = XOR (new_node, next);|d) node* next = XOR ((*head_ref),  NULL);   (*head_ref)->npx = XOR (new_node, next);","a","They code for the english is node* next = XOR ((*head_ref)->npx,  NULL);   (*head_ref)->npx = XOR (new_node, next);.",10,
231,"What are implicit and explicit implementations of freelists?|a) garbage collection and new or malloc operators respectively|b) new or malloc and garbage collection respectively|c) implicit implementation is not favored|d) explicit implementation is not favored","a","Gc and new most widely known.",10,
232,"What datastructures can be used in implementing a free list?|a) only linked list|b) linked list or sort trees|c) arrays|d) trees","b","Sort trees can also be used in impelementing free lists which remaincomplex.",10,
233,"What are different ways of implementing free lists and which is simple among them?|a) best fit, first fit, worst fit, simple-first fit|b) best fit, first fit, worst fit, simple-best fit|c) best fit, first fit, worst fit, simple-worst fit|d) best fit  simple-best fit","a","The simplest form of memory management system can be called as first-fit. a device or system maintains a single list of free memory locations. When request to memory is sent, the list is searched and the first block that is large enough is returned.",10,
234,"What is buddy memory management of free lists ?|a) modified version of first fit|b) buddy allocation keeps several free lists, each one holds blocks which are of one particular size|c) modified version of best fit|d) a tree representation of free lists","b","When an allocation request is received, the list that holds blocks that are just large enough to satisfy the request are considered, and an open location is returned. If no free blocks that are smaller than two times the size that are requested are available, a larger block is split in two to satisfy the requirements.",10,
